MEAN_TEMPERATURE,HEATING_DEGREE_DAYS,MIN_TEMPERATURE,LOCAL_DATE,LOCAL_MONTH,LOCAL_DAY,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,STATION_NAME,TOTAL_RAIN,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY,LOCAL_YEAR,MIN_REL_HUMIDITY
"-12,1","30,1","-16,1",2013-02-18 00:00:00,2,18,"-8,1",0,0,1,MONTREAL INTL A,0,0,,2013,
"-5,8","23,8","-11,5",2013-02-19 00:00:00,2,19,"-0,1","6,2",6,1,MONTREAL INTL A,"0,2",0,,2013,
"-6,2","24,2","-11,4",2013-02-20 00:00:00,2,20,-1,5,5,7,MONTREAL INTL A,0,0,,2013,
"-9,7","27,7","-13,4",2013-02-21 00:00:00,2,21,"-5,9",2,2,4,MONTREAL INTL A,0,0,,2013,
-1,19,"-3,3",2013-02-23 00:00:00,2,23,"1,3","7,8","7,8",1,MONTREAL INTL A,0,0,,2013,
"0,6","17,4","0,1",2013-02-24 00:00:00,2,24,"1,1","1,2","1,2",4,MONTREAL INTL A,0,0,,2013,
"0,2","17,8","-1,3",2013-02-25 00:00:00,2,25,"1,6","0,2","0,2",3,MONTREAL INTL A,0,0,,2013,
1,17,"-1,3",2013-02-26 00:00:00,2,26,"3,3",0,0,3,MONTREAL INTL A,0,0,,2013,
"0,1","17,9","-1,2",2013-03-01 00:00:00,3,1,"1,3","2,2","2,2",9,MONTREAL INTL A,0,0,,2013,
"-2,1","20,1","-4,6",2013-03-02 00:00:00,3,2,"0,5","2,6",3,9,MONTREAL INTL A,0,0,,2013,
"-3,3","21,3","-5,2",2013-03-03 00:00:00,3,3,"-1,4","1,2","1,4",12,MONTREAL INTL A,0,0,,2013,
"-5,5","23,5","-7,3",2013-03-04 00:00:00,3,4,"-3,7",2,"1,8",11,MONTREAL INTL A,"0,2",0,,2013,
"-1,5","19,5","-4,6",2013-03-05 00:00:00,3,5,"1,7",1,"0,6",12,MONTREAL INTL A,"0,4",0,,2013,
"1,5","16,5",0,2013-03-06 00:00:00,3,6,3,0,0,11,MONTREAL INTL A,0,0,,2013,
"-0,5","18,5","-1,1",2013-03-07 00:00:00,3,7,"0,2",0,0,9,MONTREAL INTL A,0,0,,2013,
"-0,3","18,3","-4,2",2013-03-08 00:00:00,3,8,"3,7",0,0,7,MONTREAL INTL A,0,0,,2013,
-1,19,"-6,8",2013-03-09 00:00:00,3,9,"4,9",0,0,2,MONTREAL INTL A,0,0,,2013,
3,15,"-2,8",2013-03-10 00:00:00,3,10,"8,7",0,0,2,MONTREAL INTL A,0,0,,2013,
"2,1","15,9","-0,2",2013-03-13 00:00:00,3,13,"4,3",0,0,,MONTREAL INTL A,0,0,,2013,
